PROJECT	timepoint	proj_max_capacity_factor
 290	500202	0.58
 290	500206	0.59
 290	587569	0.62
 290	587573	0.86
 290	587577	0.95
 290	587581	0.55
 290	587585	0.46
 290	587589	0.83
 290	587858	0.67
 290	587862	0.56
 290	587866	0.67
 290	587870	0.67
 290	587874	0.58
 290	587878	0.59
 291	324505	0.61
 291	324509	0.95
 291	324513	0.8
 291	324517	0.68
 291	324521	0.99
 291	324525	1
 291	325036	0
 291	325040	0
 291	325044	0.1
 291	325048	0.02
 291	325052	0.08
 291	325056	0.2
 291	412249	0.69
 291	412253	0.86
 291	412257	0.86
 291	412261	0.65
 291	412265	0.72
 291	412269	0.62
 291	412708	0
 291	412712	0
 291	412716	0.1
 291	412720	0.02
 291	412724	0.08
 291	412728	0.2
 291	499897	0.69
 291	499901	0.86
 291	499905	0.86
 291	499909	0.65
 291	499913	0.72
 291	499917	0.62
 291	500186	0.32
 291	500190	0.45
 291	500194	0.28
 291	500198	0.35
 291	500202	0.19
 291	500206	0.18
 291	587569	0.69
 291	587573	0.86
 291	587577	0.86
 291	587581	0.65
 291	587585	0.72
 291	587589	0.62
 291	587858	0.32
 291	587862	0.45
 291	587866	0.28
 291	587870	0.35
 291	587874	0.19
 291	587878	0.18
 293	324505	0.68
 293	324509	0.57
 293	324513	0.57
 293	324517	0.66
 293	324521	0.72
 293	324525	0.67
 293	325036	0.02
 293	325040	0.09
 293	325044	0.09
 293	325048	0.21
 293	325052	0.17
 293	325056	0.07
 293	412249	0.89
 293	412253	0.81
 293	412257	0.89
 293	412261	0.66
 293	412265	0.36
 293	412269	0.15
 293	412708	0.02
 293	412712	0.09
 293	412716	0.09
 293	412720	0.21
 293	412724	0.17
 293	412728	0.07
 293	499897	0.89
 293	499901	0.81
 293	499905	0.89
 293	499909	0.66
 293	499913	0.36
 293	499917	0.15
 293	500186	0.13
 293	500190	0.31
 293	500194	0.06
 293	500198	0.08
 293	500202	0.05
 293	500206	0.01
 293	587569	0.89
 293	587573	0.81
 293	587577	0.89
 293	587581	0.66
 293	587585	0.36
 293	587589	0.15
 293	587858	0.13
 293	587862	0.31
 293	587866	0.06
 293	587870	0.08
 293	587874	0.05
 293	587878	0.01
 294	324505	0.6
 294	324509	0.48
 294	324513	0.34
 294	324517	0.54
 294	324521	0.67
 294	324525	0.5
 294	325036	0.08
 294	325040	0
 294	325044	0.03
 294	325048	0.09
 294	325052	0.17
 294	325056	0.05
 294	412249	0.71
 294	412253	0.67
 294	412257	0.77
 294	412261	0.25
 294	412265	0.8
 294	412269	0.58
 294	412708	0.08
 294	412712	0
 294	412716	0.03
 294	412720	0.09
 294	412724	0.17
 294	412728	0.05
 294	499897	0.71
 294	499901	0.67
 294	499905	0.77
 294	499909	0.25
 294	499913	0.8
 294	499917	0.58
 294	500186	0.19
 294	500190	0.17
 294	500194	0.16
 294	500198	0.04
 294	500202	0.03
 294	500206	0.13
 294	587569	0.71
 294	587573	0.67
 294	587577	0.77
 294	587581	0.25
 294	587585	0.8
 294	587589	0.58
 294	587858	0.19
 294	587862	0.17
 294	587866	0.16
 294	587870	0.04
 294	587874	0.03
 294	587878	0.13
 295	324505	0.48
 295	324509	0.68
 295	324513	0.79
 295	324517	0.98
 295	324521	0.56
 295	324525	0.13
 295	325036	0.05
 295	325040	0.25
 295	325044	0.69
 295	325048	0.64
 295	325052	0.4
 295	325056	0.09
 295	412249	0.75
 295	412253	0.8
 295	412257	0.84
 295	412261	0.58
 295	412265	0.73
 295	412269	0.81
 295	412708	0.05
 295	412712	0.25
 295	412716	0.69
 295	412720	0.64
 295	412724	0.4
 295	412728	0.09
 295	499897	0.75
 295	499901	0.8
 295	499905	0.84
 295	499909	0.58
 295	499913	0.73
 295	499917	0.81
 295	500186	0.53
 295	500190	0.39
 295	500194	0.1
 295	500198	0.11
 295	500202	0.06
 295	500206	0.02
 295	587569	0.75
 295	587573	0.8
 295	587577	0.84
 295	587581	0.58
 295	587585	0.73
 295	587589	0.81
 295	587858	0.53
 295	587862	0.39
 295	587866	0.1
 295	587870	0.11
 295	587874	0.06
 295	587878	0.02
 296	324505	0.48
 296	324509	0.68
 296	324513	0.79
 296	324517	0.98
 296	324521	0.56
 296	324525	0.13
 296	325036	0.05
 296	325040	0.25
 296	325044	0.69
 296	325048	0.64
 296	325052	0.4
 296	325056	0.09
